fishnet_id,date,day_of_year,latitude,longitude,forest_area,region_ci,nsr_numerical_code,ffmc_interpolated,logit,probability
1438,2014-05-22,142,58.2736,-114.3059,High Level Forest Area,West Boreal,1,0.0,-11.398514557818,1.1212002e-05
1439,2014-05-22,142,58.2726,-114.1353,High Level Forest Area,West Boreal,1,0.0,-11.024715783489,1.6293699e-05
1440,2014-05-22,142,58.2713,-113.9648,High Level Forest Area,East Boreal,1,0.0,-10.924214555988,1.8016319e-05
1474,2014-05-22,142,58.0704,-119.9974,High Level Forest Area,West Boreal,6,0.0,-14.887232439586,3.42418e-07
1475,2014-05-22,142,58.091,-119.9114,High Level Forest Area,West Boreal,6,0.0,-14.532417808125,4.8826e-07
1476,2014-05-22,142,58.0974,-119.7423,High Level Forest Area,West Boreal,6,0.0,-13.526112044766,1.335622e-06
1477,2014-05-22,142,58.1036,-119.5732,High Level Forest Area,West Boreal,6,0.0,-13.091036106836,2.063642e-06
1478,2014-05-22,142,58.1096,-119.4039,High Level Forest Area,West Boreal,6,0.0,-14.571922755566,4.69347e-07
1479,2014-05-22,142,58.1153,-119.2346,High Level Forest Area,West Boreal,6,0.0,-15.23479062841,2.41888e-07
1480,2014-05-22,142,58.1208,-119.0653,High Level Forest Area,West Boreal,6,0.0,-15.028793772144,2.9722e-07
1481,2014-05-22,142,58.1261,-118.8958,High Level Forest Area,West Boreal,6,0.0,-14.786026067231,3.78888e-07
1482,2014-05-22,142,58.1312,-118.7264,High Level Forest Area,West Boreal,1,0.0,-12.155921163347,5.257124e-06
1483,2014-05-22,142,58.1361,-118.5568,High Level Forest Area,West Boreal,6,0.0,-14.756735307827,3.9015e-07
1484,2014-05-22,142,58.1407,-118.3872,High Level Forest Area,West Boreal,6,0.0,-14.17557390289,6.97632e-07
1485,2014-05-22,142,58.1451,-118.2176,High Level Forest Area,West Boreal,6,0.0,-15.354363916519,2.14627e-07
1486,2014-05-22,142,58.1492,-118.0479,High Level Forest Area,West Boreal,1,0.0,-11.189026700329,1.3824882e-05
1487,2014-05-22,142,58.1532,-117.8782,High Level Forest Area,West Boreal,1,0.0,-11.592097160588,9.238727e-06
1488,2014-05-22,142,58.1569,-117.7084,High Level Forest Area,West Boreal,2,0.0,-11.806742656087,7.454072e-06
1489,2014-05-22,142,58.1604,-117.5386,High Level Forest Area,West Boreal,2,0.0,-11.184884731888,1.3882262e-05
1490,2014-05-22,142,58.1637,-117.3687,High Level Forest Area,West Boreal,2,0.0,-11.729754767705,8.050609e-06
1491,2014-05-22,142,58.1667,-117.1988,High Level Forest Area,West Boreal,2,0.0,-10.735740263954,2.1752932e-05
1492,2014-05-22,142,58.1695,-117.0289,High Level Forest Area,West Boreal,2,0.0,-13.777610394161,1.038626e-06
1493,2014-05-22,142,58.1721,-116.8589,High Level Forest Area,West Boreal,2,0.0,-13.841729664534,9.74121e-07
1494,2014-05-22,142,58.1745,-116.6889,High Level Forest Area,West Boreal,2,0.0,-13.193758521613,1.862184e-06
1495,2014-05-22,142,58.1766,-116.5189,High Level Forest Area,West Boreal,2,0.0,-9.31087309178,9.0427374e-05
1496,2014-05-22,142,58.1785,-116.3489,High Level Forest Area,West Boreal,2,0.0,-7.499411609323,0.000553103802
1497,2014-05-22,142,58.1802,-116.1788,High Level Forest Area,West Boreal,2,0.0,-7.619928662925,0.000490336279
1498,2014-05-22,142,58.1817,-116.0088,High Level Forest Area,West Boreal,2,0.0,-7.653154969577,0.000474319505
1499,2014-05-22,142,58.1829,-115.8387,High Level Forest Area,West Boreal,1,0.0,-8.666323980047,0.000172261609
1500,2014-05-22,142,58.1839,-115.6686,High Level Forest Area,West Boreal,1,0.0,-8.691012601735,0.000168061483
1501,2014-05-22,142,58.1847,-115.4985,High Level Forest Area,West Boreal,1,0.0,-11.950779887682,6.454156e-06
1502,2014-05-22,142,58.1852,-115.3283,High Level Forest Area,West Boreal,1,0.0,-12.419900544298,4.03742e-06
1503,2014-05-22,142,58.1856,-115.1582,High Level Forest Area,West Boreal,1,0.0,-12.198174338362,5.039623e-06
1504,2014-05-22,142,58.1857,-114.9881,High Level Forest Area,West Boreal,1,0.0,-11.283456947275,1.2579154e-05
1505,2014-05-22,142,58.1855,-114.818,High Level Forest Area,West Boreal,1,0.0,-12.232558253797,4.869287e-06
1506,2014-05-22,142,58.1852,-114.6478,High Level Forest Area,West Boreal,1,0.0,-12.208472104557,4.987992e-06
1507,2014-05-22,142,58.1846,-114.4777,High Level Forest Area,West Boreal,1,0.0,-12.225189882647,4.905298e-06
1508,2014-05-22,142,58.1838,-114.3076,High Level Forest Area,West Boreal,1,0.0,-11.249362886698,1.3015418e-05
1509,2014-05-22,142,58.1827,-114.1375,High Level Forest Area,West Boreal,1,0.0,-12.306731391246,4.521187e-06
1510,2014-05-22,142,58.1815,-113.9674,High Level Forest Area,East Boreal,1,0.0,-11.592999058148,9.230399e-06
1550,2014-05-22,142,58.0312,-119.0551,High Level Forest Area,West Boreal,6,0.0,-16.428853872106,7.3289e-08
1551,2014-05-22,142,58.0365,-118.8861,High Level Forest Area,West Boreal,6,0.0,-14.376229491359,5.70798e-07
1552,2014-05-22,142,58.0415,-118.717,High Level Forest Area,West Boreal,6,0.0,-10.933714451998,1.784598e-05
1553,2014-05-22,142,58.0464,-118.5479,High Level Forest Area,West Boreal,1,0.0,-12.781395448166,2.812608e-06
1554,2014-05-22,142,58.051,-118.3787,High Level Forest Area,West Boreal,1,0.0,-13.901259168049,9.17824e-07
1555,2014-05-22,142,58.0554,-118.2095,High Level Forest Area,West Boreal,1,0.0,-14.52000627338,4.94358e-07
1556,2014-05-22,142,58.0595,-118.0403,High Level Forest Area,West Boreal,1,0.0,-12.397667527099,4.128189e-06
1557,2014-05-22,142,58.0634,-117.8709,High Level Forest Area,West Boreal,1,0.0,-11.30291022053,1.2336816e-05
1558,2014-05-22,142,58.0672,-117.7016,High Level Forest Area,West Boreal,2,0.0,-10.318082675786,3.3029294e-05
1559,2014-05-22,142,58.0706,-117.5322,High Level Forest Area,West Boreal,2,0.0,-10.773345929615,2.0950105e-05
1560,2014-05-22,142,58.0739,-117.3628,High Level Forest Area,West Boreal,2,0.0,-12.691988180797,3.075659e-06
1561,2014-05-22,142,58.0769,-117.1933,High Level Forest Area,West Boreal,2,0.0,-12.28065351907,4.640641e-06
1562,2014-05-22,142,58.0797,-117.0238,High Level Forest Area,West Boreal,2,0.0,-12.533387820872,3.60427e-06
1563,2014-05-22,142,58.0823,-116.8543,High Level Forest Area,West Boreal,2,0.0,-9.78731956057,5.6156073e-05
1564,2014-05-22,142,58.0847,-116.6847,High Level Forest Area,West Boreal,2,0.0,-10.083013050092,4.1781586e-05
1565,2014-05-22,142,58.0868,-116.5151,High Level Forest Area,West Boreal,2,0.0,-8.714118159698,0.000164223476
1566,2014-05-22,142,58.0887,-116.3455,High Level Forest Area,West Boreal,2,0.0,-8.532802437176,0.000196863627
1567,2014-05-22,142,58.0904,-116.1759,High Level Forest Area,West Boreal,2,0.0,-9.062444634862,0.000115925761
1568,2014-05-22,142,58.0918,-116.0062,High Level Forest Area,West Boreal,1,0.0,-13.133483275969,1.977879e-06
1569,2014-05-22,142,58.0931,-115.8366,High Level Forest Area,West Boreal,1,0.0,-13.436992122288,1.460118e-06
1570,2014-05-22,142,58.0941,-115.6669,High Level Forest Area,West Boreal,1,0.0,-10.830184382779,1.9792565e-05
